Node	X Location (m)	Y Location (m)	Z Location (m)	
539	0.12307	6.0334e-002	5.756e-002	
540	0.11798	5.5531e-002	5.6867e-002	
541	9.5785e-002	5.1174e-002	5.6958e-002	
542	0.13904	7.7129e-002	5.4671e-002	
543	0.12797	6.5435e-002	5.718e-002	
544	0.13028	6.1e-002	5.564e-002	
545	0.13927	0.10431	5.5067e-002	
546	0.14277	9.8998e-002	5.3237e-002	
547	0.13704	9.27e-002	5.7012e-002	
548	0.14113	8.8211e-002	5.4778e-002	
549	0.12423	0.13494	6.0883e-002	
550	0.1258	0.13996	5.6424e-002	
551	0.12182	0.15021	5.3003e-002	
552	0.13127	0.11702	5.9562e-002	
553	0.13063	0.1231	5.8623e-002	
554	9.5581e-002	0.17132	4.0045e-002	
555	0.10147	0.16795	4.3394e-002	
556	0.11313	0.15651	5.4277e-002	
557	0.11025	0.16054	5.0509e-002	
558	8.6417e-002	0.17585	2.6251e-002	
559	8.73e-002	0.17432	3.3774e-002	
560	9.4305e-002	0.17333	3.3568e-002	
561	7.0719e-002	0.17336	3.3018e-002	
562	4.6704e-002	0.16481	2.8519e-002	
563	6.4072e-002	0.17187	3.1648e-002	
564	6.6179e-002	0.17329	2.8756e-002	
565	4.1908e-002	0.16	3.06e-002	
566	3.8149e-002	0.15516	3.2952e-002	
567	3.5004e-002	0.15077	3.5212e-002	
568	3.6643e-002	0.15232	3.5055e-002	
569	3.3383e-002	0.14752	3.7153e-002	
570	3.246e-002	0.14093	4.2261e-002	
571	3.0286e-002	0.1362	4.3722e-002	
572	2.857e-002	0.13422	4.3613e-002	
573	2.8275e-002	0.12573	4.7265e-002	
574	2.8269e-002	0.1314	4.4949e-002	
575	2.755e-002	0.11815	4.8945e-002	
576	2.8354e-002	0.12291	4.8425e-002	
577	2.6295e-002	0.10866	4.9855e-002	
578	2.8055e-002	0.11531	4.9751e-002	
579	2.696e-002	0.1035	5.047e-002	
580	2.7304e-002	0.10582	5.0381e-002	
581	3.0478e-002	9.7288e-002	5.186e-002	
582	2.9355e-002	0.10013	5.1398e-002	
583	3.4164e-002	8.875e-002	5.3065e-002	
584	3.8547e-002	7.8321e-002	5.2648e-002	
585	3.8876e-002	8.0217e-002	5.3592e-002	
586	5.1535e-002	7.0139e-002	5.7667e-002	
587	6.7629e-002	6.0527e-002	5.8389e-002	
588	6.5558e-002	6.3489e-002	5.951e-002	
